genome_id	antibiotic	phenotype	method	measurement	unit
573.29861	fosfomycin	R	Broth dilution		
573.46864	fosfomycin	S	Broth dilution	8	mg/L
573.23223	fosfomycin	S	Disk diffusion		
573.46836	fosfomycin	S	Broth dilution	<=8	mg/L
573.46839	fosfomycin	S	Broth dilution	16	mg/L
573.46869	fosfomycin	S	Broth dilution	32	mg/L
573.46872	fosfomycin	S	Broth dilution	16	mg/L
573.31038	fosfomycin	S	Broth dilution	<=16	mg/L
573.29881	fosfomycin	S	Broth dilution		
573.29983	fosfomycin	S	Broth dilution		
573.23225	fosfomycin	S	Disk diffusion		
573.29901	fosfomycin	S	Broth dilution		
573.29955	fosfomycin	R	Broth dilution		
573.29889	fosfomycin	S	Broth dilution		
573.5623	fosfomycin	R	Broth dilution		
573.29982	fosfomycin	S	Broth dilution		
573.46847	fosfomycin	S	Broth dilution	32	mg/L
573.29897	fosfomycin	S	Broth dilution		
573.23206	fosfomycin	S	Disk diffusion		
573.46871	fosfomycin	R	Broth dilution	>128	mg/L
573.46843	fosfomycin	S	Broth dilution	<=8	mg/L
573.29885	fosfomycin	S	Broth dilution		
573.5780	fosfomycin	R	Broth dilution		
573.29870	fosfomycin	S	Broth dilution		
573.29930	fosfomycin	S	Broth dilution		
573.29862	fosfomycin	S	Broth dilution		
573.46853	fosfomycin	S	Broth dilution	32	mg/L
573.29893	fosfomycin	S	Broth dilution		
573.29920	fosfomycin	S	Broth dilution		
573.29939	fosfomycin	S	Broth dilution		
573.29969	fosfomycin	S	Broth dilution		
573.30017	fosfomycin	S	Broth dilution		
573.46855	fosfomycin	S	Broth dilution	16	mg/L
573.5778	fosfomycin	R	Broth dilution		
573.29978	fosfomycin	R	Broth dilution		
573.50000	fosfomycin	R	MIC	<=64	mg/L
573.5636	fosfomycin	R	Broth dilution		
573.29922	fosfomycin	S	Broth dilution		
573.29931	fosfomycin	R	Broth dilution		
573.5769	fosfomycin	R	Broth dilution		
573.46863	fosfomycin	S	Broth dilution	<=8	mg/L
573.29989	fosfomycin	S	Broth dilution		
573.29995	fosfomycin	S	Broth dilution		
573.29933	fosfomycin	S	Broth dilution		
573.32339	fosfomycin	S	Broth dilution	<=16	mg/L
573.30001	fosfomycin	S	Broth dilution		
573.30008	fosfomycin	S	Broth dilution		
573.49997	fosfomycin	R	MIC	<=64	mg/L
573.29898	fosfomycin	R	Broth dilution		
573.29937	fosfomycin	S	Broth dilution		
573.29868	fosfomycin	S	Broth dilution		
573.46866	fosfomycin	S	Broth dilution	4	mg/L
573.29979	fosfomycin	S	Broth dilution		
573.30013	fosfomycin	S	Broth dilution		
573.23220	fosfomycin	S	Disk diffusion		
573.56109	fosfomycin	S	MIC	<=32	mg/L
573.31034	fosfomycin	S	Broth dilution	<=16	mg/L
573.46844	fosfomycin	R	Broth dilution	>128	mg/L
573.29966	fosfomycin	R	Broth dilution		
573.46873	fosfomycin	S	Broth dilution	<=8	mg/L
573.23221	fosfomycin	S	Disk diffusion		
573.29938	fosfomycin	S	Broth dilution		
573.31030	fosfomycin	S	Broth dilution	<=16	mg/L
573.30014	fosfomycin	S	Broth dilution		
573.31031	fosfomycin	R	Broth dilution	>=256	mg/L
573.23205	fosfomycin	S	Disk diffusion		
573.30007	fosfomycin	S	Broth dilution		
573.46861	fosfomycin	S	Broth dilution	16	mg/L
573.46838	fosfomycin	S	Broth dilution	32	mg/L
573.46845	fosfomycin	S	Broth dilution	<=8	mg/L
573.29927	fosfomycin	S	Broth dilution		
573.46875	fosfomycin	S	Broth dilution	32	mg/L
573.5624	fosfomycin	R	Broth dilution		
573.29977	fosfomycin	S	Broth dilution		
573.23196	fosfomycin	S	Disk diffusion		
573.29864	fosfomycin	R	Broth dilution		
573.29878	fosfomycin	S	Broth dilution		
573.29924	fosfomycin	R	Broth dilution		
573.29903	fosfomycin	S	Broth dilution		
573.29986	fosfomycin	S	Broth dilution		
573.29932	fosfomycin	S	Broth dilution		
573.32135	fosfomycin	S	Broth dilution	<=16	mg/L
573.46862	fosfomycin	R	Broth dilution	>128	mg/L
573.29884	fosfomycin	S	Broth dilution		
573.23233	fosfomycin	S	Disk diffusion		
573.29970	fosfomycin	S	Broth dilution		
573.29880	fosfomycin	S	Broth dilution		
573.5779	fosfomycin	R	Broth dilution		
573.29892	fosfomycin	S	Broth dilution		
573.23208	fosfomycin	S	Disk diffusion		
573.29958	fosfomycin	S	Broth dilution		
573.32138	fosfomycin	S	Broth dilution	<=16	mg/L
573.29956	fosfomycin	S	Broth dilution		
573.31035	fosfomycin	S	Broth dilution	<=16	mg/L
573.30009	fosfomycin	S	Broth dilution		
573.29997	fosfomycin	S	Broth dilution		
573.46829	fosfomycin	S	Broth dilution	32	mg/L
573.46852	fosfomycin	R	Broth dilution	128	mg/L
573.32132	fosfomycin	S	Broth dilution	<=16	mg/L
573.33903	fosfomycin	S	Broth dilution	<=16	mg/L
573.46850	fosfomycin	S	Broth dilution	16	mg/L
573.30002	fosfomycin	S	Broth dilution		
573.29950	fosfomycin	S	Broth dilution		
573.29952	fosfomycin	S	Broth dilution		
573.25568	fosfomycin	R	Broth dilution		
573.29921	fosfomycin	S	Broth dilution		
573.46833	fosfomycin	S	Broth dilution	16	mg/L
573.46834	fosfomycin	S	Broth dilution	8	mg/L
573.29890	fosfomycin	S	Broth dilution		
573.5766	fosfomycin	R	Broth dilution		
573.29900	fosfomycin	S	Broth dilution		
573.29910	fosfomycin	S	Broth dilution		
573.29945	fosfomycin	S	Broth dilution		
573.52801	fosfomycin	S	MIC	<=16	mg/L
573.29944	fosfomycin	S	Broth dilution		
573.29991	fosfomycin	R	Broth dilution		
573.5768	fosfomycin	R	Broth dilution		
573.29869	fosfomycin	S	Broth dilution		
573.1999	fosfomycin	R	Broth dilution		
573.1998	fosfomycin	S	Broth dilution		
573.2012	fosfomycin	R	Broth dilution		
573.2015	fosfomycin	S	Broth dilution		
573.2028	fosfomycin	S	Broth dilution		
573.2000	fosfomycin	S	Broth dilution		
573.1996	fosfomycin	S	Broth dilution		
573.2022	fosfomycin	S	Broth dilution		
573.2019	fosfomycin	S	Broth dilution		
573.2024	fosfomycin	S	Broth dilution		
573.2025	fosfomycin	S	Broth dilution		
573.2008	fosfomycin	S	Broth dilution		
573.2007	fosfomycin	S	Broth dilution		
573.2011	fosfomycin	R	Broth dilution		
573.2026	fosfomycin	S	Broth dilution		
573.2016	fosfomycin	R	Broth dilution		
573.2004	fosfomycin	S	Broth dilution		
573.2023	fosfomycin	S	Broth dilution		
573.2009	fosfomycin	R	Broth dilution		
573.2002	fosfomycin	S	Broth dilution		
573.2013	fosfomycin	S	Broth dilution		
573.2001	fosfomycin	R	Broth dilution		
573.2027	fosfomycin	S	Broth dilution		
573.2029	fosfomycin	R	Broth dilution		
573.2017	fosfomycin	R	Broth dilution		
573.2020	fosfomycin	R	Broth dilution		
573.2010	fosfomycin	R	Broth dilution		
573.2003	fosfomycin	S	Broth dilution		
573.2021	fosfomycin	R	Broth dilution		
573.2005	fosfomycin	R	Broth dilution		
573.2006	fosfomycin	R	Broth dilution		
573.2018	fosfomycin	R	Broth dilution		
573.30003	fosfomycin	S	Broth dilution		
573.29902	fosfomycin	S	Broth dilution		
573.5646	fosfomycin	R	Broth dilution		
573.29914	fosfomycin	S	Broth dilution		
573.5770	fosfomycin	R	Broth dilution		
573.56424	fosfomycin	S	MIC	==64	mg/L
573.23218	fosfomycin	S	Disk diffusion		
573.46859	fosfomycin	S	Broth dilution	32	mg/L
573.29999	fosfomycin	S	Broth dilution		
573.29959	fosfomycin	S	Broth dilution		
573.32139	fosfomycin	S	Broth dilution	<=16	mg/L
573.29883	fosfomycin	S	Broth dilution		
573.29871	fosfomycin	S	Broth dilution		
573.46846	fosfomycin	S	Broth dilution	32	mg/L
573.29940	fosfomycin	R	Broth dilution		
573.29960	fosfomycin	S	Broth dilution		
573.30011	fosfomycin	S	Broth dilution		
573.29984	fosfomycin	S	Broth dilution		
573.29909	fosfomycin	S	Broth dilution		
573.5763	fosfomycin	R	Broth dilution		
573.29929	fosfomycin	S	Broth dilution		
573.29925	fosfomycin	R	Broth dilution		
573.5638	fosfomycin	R	Broth dilution		
573.29974	fosfomycin	S	Broth dilution		
573.29915	fosfomycin	S	Broth dilution		
573.24414	cefepime	R	Broth dilution	32	mg/L
573.50421	cefepime	S	Computational Prediction		
573.13354	cefepime	S	Broth dilution	<=1	mg/L
573.26130	cefepime	S	Broth dilution		
573.13515	cefepime	R	Broth dilution	>16	mg/L
573.48145	cefepime	R	Computational Prediction		
573.48098	cefepime	R	Computational Prediction		
573.13699	cefepime	R	Broth dilution	>16	mg/L
573.13101	cefepime	S	Broth dilution	<=1	mg/L
573.13833	cefepime	R	Broth dilution	16	mg/L
573.5694	cefepime	S	Broth dilution	<=1	mg/L
573.13807	cefepime	R	Broth dilution	>16	mg/L
573.50611	cefepime	S	Computational Prediction		
573.13133	cefepime	S	Broth dilution	2	mg/L
573.15602	cefepime	R	Broth dilution		
573.15626	cefepime	R	Broth dilution		
573.48944	cefepime	S	Computational Prediction		
573.13048	cefepime	S	Broth dilution	<=1	mg/L
573.48942	cefepime	S	Computational Prediction		
573.14528	cefepime	S	Broth dilution	<=1	mg/L
573.46850	cefepime	R	Broth dilution	>16	mg/L
573.15525	cefepime	S	Broth dilution		
573.15568	cefepime	S	Broth dilution		
573.50528	cefepime	S	Computational Prediction		
573.14380	cefepime	S	Broth dilution	<=1	mg/L
573.12931	cefepime	S	Broth dilution	1	mg/L
573.14431	cefepime	R	Broth dilution	>16	mg/L
573.24332	cefepime	R	Broth dilution	32	mg/L
573.12876	cefepime	R	Broth dilution	>16	mg/L
573.46846	cefepime	R	Broth dilution	>16	mg/L
573.5796	cefepime	S	Broth dilution	<=1	mg/L
573.24369	cefepime	R	Broth dilution	32	mg/L
573.24309	cefepime	R	Broth dilution	64	mg/L
573.48945	cefepime	S	Computational Prediction		
573.13857	cefepime	R	Broth dilution	>16	mg/L
573.48237	cefepime	R	Computational Prediction		
573.50424	cefepime	S	Computational Prediction		
573.14233	cefepime	R	Broth dilution	16	mg/L
573.48052	cefepime	R	Computational Prediction		
573.14075	cefepime	R	Broth dilution	16	mg/L
573.48030	cefepime	R	Computational Prediction		
573.13132	cefepime	R	Broth dilution	>16	mg/L
573.18680	cefepime	R	Broth dilution	>32	mg/L
573.13283	cefepime	R	Broth dilution	>16	mg/L
573.13474	cefepime	R	Broth dilution	>16	mg/L
573.13525	cefepime	R	Broth dilution	>16	mg/L
573.14402	cefepime	R	Broth dilution	16	mg/L
573.26074	cefepime	S	Broth dilution		
573.15527	cefepime	S	Broth dilution		
573.49050	cefepime	S	Computational Prediction		
573.12901	cefepime	S	Broth dilution	<=0.5	mg/L
573.13120	cefepime	R	Broth dilution	>16	mg/L
573.49117	cefepime	R	Computational Prediction		
573.48109	cefepime	R	Computational Prediction		
573.49059	cefepime	R	Computational Prediction		
573.49026	cefepime	S	Computational Prediction		
573.49057	cefepime	R	Computational Prediction		
573.26162	cefepime	R	Broth dilution		
573.26195	cefepime	S	Broth dilution		
573.50448	cefepime	S	Computational Prediction		
573.26288	cefepime	R	Broth dilution		
573.49097	cefepime	S	Computational Prediction		
573.14367	cefepime	R	Broth dilution	>16	mg/L
573.12926	cefepime	S	Broth dilution	<=0.5	mg/L
573.48254	cefepime	R	Computational Prediction		
573.12975	cefepime	R	Broth dilution	>16	mg/L
573.13009	cefepime	S	Broth dilution	<=0.5	mg/L
573.13718	cefepime	R	Broth dilution	>16	mg/L
573.14053	cefepime	R	Broth dilution	16	mg/L
573.14546	cefepime	R	Broth dilution	16	mg/L
573.49153	cefepime	S	Computational Prediction		
573.14174	cefepime	S	Broth dilution	<=1	mg/L
573.12954	cefepime	R	Broth dilution	>16	mg/L
573.12871	cefepime	S	Broth dilution	<=0.5	mg/L
573.46085	cefepime	S	Broth dilution		
573.13640	cefepime	R	Broth dilution	>16	mg/L
573.14153	cefepime	R	Broth dilution	>16	mg/L
573.13202	cefepime	S	Broth dilution	<=1	mg/L
573.49082	cefepime	S	Computational Prediction		
573.14366	cefepime	R	Broth dilution	>16	mg/L
573.14321	cefepime	R	Broth dilution	>16	mg/L
573.26075	cefepime	S	Broth dilution		
573.48116	cefepime	R	Computational Prediction		
573.13561	cefepime	R	Broth dilution	>16	mg/L
573.50494	cefepime	S	Computational Prediction		
573.49102	cefepime	S	Computational Prediction		
573.24408	cefepime	S	Broth dilution	8	mg/L
573.48215	cefepime	R	Computational Prediction		
573.13255	cefepime	R	Broth dilution	>16	mg/L
573.13285	cefepime	S	Broth dilution	<=1	mg/L
573.12913	cefepime	R	Broth dilution	>16	mg/L
573.26303	cefepime	R	Broth dilution		
573.48955	cefepime	R	Computational Prediction		
573.14143	cefepime	S	Broth dilution	<=1	mg/L
573.13065	cefepime	R	Broth dilution	>16	mg/L
573.49136	cefepime	R	Computational Prediction		
573.13375	cefepime	R	Broth dilution	>16	mg/L
573.52166	cefepime	R	MIC	>32	mg/L
573.13532	cefepime	R	Broth dilution	>16	mg/L
573.50422	cefepime	S	Computational Prediction		
573.13240	cefepime	R	Broth dilution	>16	mg/L
573.48976	cefepime	S	Computational Prediction		
573.49128	cefepime	R	Computational Prediction		
573.24355	cefepime	R	Broth dilution	32	mg/L
573.14104	cefepime	R	Broth dilution	>16	mg/L
573.13159	cefepime	S	Broth dilution	<=1	mg/L
573.49162	cefepime	R	Computational Prediction		
573.13419	cefepime	R	Broth dilution	>16	mg/L
573.14288	cefepime	R	Broth dilution	>16	mg/L
573.13254	cefepime	R	Broth dilution	>16	mg/L
573.26123	cefepime	S	Broth dilution		
573.46835	cefepime	R	Broth dilution	>16	mg/L
573.49009	cefepime	R	Computational Prediction		
573.13613	cefepime	R	Broth dilution	>16	mg/L
573.24374	cefepime	R	Broth dilution	32	mg/L
573.13609	cefepime	R	Broth dilution	>16	mg/L
573.13808	cefepime	R	Broth dilution	>16	mg/L
573.13485	cefepime	R	Broth dilution	>16	mg/L
573.48097	cefepime	R	Computational Prediction		
573.13008	cefepime	R	Broth dilution	>16	mg/L
573.26135	cefepime	S	Broth dilution		
573.13771	cefepime	R	Broth dilution	>16	mg/L
573.14368	cefepime	R	Broth dilution	>16	mg/L
573.15520	cefepime	S	Broth dilution		
573.24326	cefepime	R	Broth dilution	32	mg/L
573.13221	cefepime	R	Broth dilution	>16	mg/L
573.14344	cefepime	R	Broth dilution	>16	mg/L
573.14165	cefepime	R	Broth dilution	16	mg/L
573.15574	cefepime	S	Broth dilution		
573.24266	cefepime	S	Broth dilution	2	mg/L
573.15614	cefepime	R	Broth dilution		
573.12961	cefepime	S	Broth dilution	<=0.5	mg/L
573.13066	cefepime	S	Broth dilution	2	mg/L
573.50609	cefepime	S	Computational Prediction		
573.49099	cefepime	S	Computational Prediction		
573.48960	cefepime	R	Computational Prediction		
573.5815	cefepime	R	Broth dilution	>=64	mg/L
573.31059	cefepime	S	Disk diffusion		
573.50564	cefepime	R	Computational Prediction		
573.14239	cefepime	R	Broth dilution	>16	mg/L
573.23196	cefepime	R	Disk diffusion		
573.50620	cefepime	S	Computational Prediction		
573.14175	cefepime	R	Broth dilution	>16	mg/L
573.26259	cefepime	S	Broth dilution		
573.14500	cefepime	R	Broth dilution	>16	mg/L
573.14255	cefepime	R	Broth dilution	>16	mg/L
573.24429	cefepime	R	Broth dilution	32	mg/L
573.26173	cefepime	S	Broth dilution		
573.24297	cefepime	R	Broth dilution	32	mg/L
573.14231	cefepime	R	Broth dilution	>16	mg/L
573.14203	cefepime	R	Broth dilution	>16	mg/L
573.50497	cefepime	R	Computational Prediction		
573.50442	cefepime	R	Computational Prediction		
573.13929	cefepime	R	Broth dilution	>16	mg/L
573.15621	cefepime	S	Broth dilution		
573.49163	cefepime	R	Computational Prediction		
573.49164	cefepime	S	Computational Prediction		
573.24421	cefepime	R	Broth dilution	32	mg/L
573.26168	cefepime	R	Broth dilution		
573.50454	cefepime	S	Computational Prediction		
573.14058	cefepime	R	Broth dilution	>16	mg/L
573.50477	cefepime	R	Computational Prediction		
573.13391	cefepime	R	Broth dilution	>16	mg/L
573.13739	cefepime	S	Broth dilution	<=1	mg/L
573.13853	cefepime	S	Broth dilution	<=1	mg/L
573.13390	cefepime	R	Broth dilution	>16	mg/L
573.14069	cefepime	S	Broth dilution	<=1	mg/L
573.48941	cefepime	R	Computational Prediction		
573.15620	cefepime	S	Broth dilution		
573.20063	cefepime	R	Broth dilution	>32	mg/L
573.48281	cefepime	R	Computational Prediction		
573.48267	cefepime	R	Computational Prediction		
573.13229	cefepime	R	Broth dilution	>16	mg/L
573.12962	cefepime	S	Broth dilution	<=0.5	mg/L
573.46864	cefepime	R	Broth dilution	>16	mg/L
573.14012	cefepime	S	Broth dilution	<=1	mg/L
573.48035	cefepime	S	Computational Prediction		
573.49159	cefepime	R	Computational Prediction		
573.53747	cefepime	R	MIC	>8	mg/L
573.13270	cefepime	R	Broth dilution	>16	mg/L
573.13500	cefepime	R	Broth dilution	>16	mg/L
573.46071	cefepime	R	Broth dilution		
573.24333	cefepime	R	Broth dilution	32	mg/L
573.13736	cefepime	S	Broth dilution	<=1	mg/L
573.13290	cefepime	R	Broth dilution	>16	mg/L
573.48057	cefepime	R	Computational Prediction		
573.49132	cefepime	S	Computational Prediction		
573.13586	cefepime	R	Broth dilution	>16	mg/L
573.13734	cefepime	R	Broth dilution	>16	mg/L
573.46095	cefepime	S	Broth dilution		
573.14155	cefepime	S	Broth dilution	<=1	mg/L
573.26134	cefepime	S	Broth dilution		
573.24283	cefepime	S	Broth dilution	2	mg/L
573.50597	cefepime	R	Computational Prediction		
573.50532	cefepime	R	Computational Prediction		
573.50472	cefepime	R	Computational Prediction		
573.15569	cefepime	S	Broth dilution		
573.24396	cefepime	R	Broth dilution	32	mg/L
573.13060	cefepime	R	Broth dilution	16	mg/L
573.50558	cefepime	S	Computational Prediction		
573.14097	cefepime	R	Broth dilution	>16	mg/L
573.13868	cefepime	S	Broth dilution	2	mg/L
573.13437	cefepime	R	Broth dilution	>16	mg/L
573.14026	cefepime	R	Broth dilution	>16	mg/L
573.15553	cefepime	S	Broth dilution		
573.48209	cefepime	R	Computational Prediction		
573.14365	cefepime	S	Broth dilution	<=1	mg/L
573.49038	cefepime	S	Computational Prediction		
573.13296	cefepime	S	Broth dilution	<=1	mg/L
573.14352	cefepime	S	Broth dilution	<=1	mg/L
573.13985	cefepime	R	Broth dilution	>16	mg/L
573.26197	cefepime	S	Broth dilution		
573.13331	cefepime	R	Broth dilution	>16	mg/L
573.48114	cefepime	R	Computational Prediction		
573.50522	cefepime	S	Computational Prediction		
573.14420	cefepime	S	Broth dilution	<=1	mg/L
573.15542	cefepime	S	Broth dilution		
573.50600	cefepime	S	Computational Prediction		
573.48143	cefepime	R	Computational Prediction		
573.14389	cefepime	S	Broth dilution	<=1	mg/L
573.13933	cefepime	R	Broth dilution	>16	mg/L
573.14220	cefepime	R	Broth dilution	>16	mg/L
573.48963	cefepime	R	Computational Prediction		
573.13110	cefepime	R	Broth dilution	>16	mg/L
573.26112	cefepime	S	Broth dilution		
573.14257	cefepime	R	Broth dilution	>16	mg/L
573.15518	cefepime	S	Broth dilution		
573.14519	cefepime	R	Broth dilution	16	mg/L
573.12942	cefepime	S	Broth dilution	<=0.5	mg/L
573.13151	cefepime	S	Broth dilution	<=1	mg/L
573.49144	cefepime	S	Computational Prediction		
573.26294	cefepime	S	Broth dilution		
573.48028	cefepime	R	Computational Prediction		
573.26229	cefepime	R	Broth dilution		
573.14087	cefepime	R	Broth dilution	>16	mg/L
573.49013	cefepime	R	Computational Prediction		
573.13345	cefepime	R	Broth dilution	>16	mg/L
573.48971	cefepime	S	Computational Prediction		
573.50529	cefepime	R	Computational Prediction		
573.49123	cefepime	R	Computational Prediction		
573.7096	cefepime	S	Broth dilution	<=1	mg/L
573.24258	cefepime	R	Broth dilution	32	mg/L
573.12890	cefepime	S	Broth dilution	<=0.5	mg/L
573.12897	cefepime	R	Broth dilution	>16	mg/L
573.50443	cefepime	S	Computational Prediction		
573.24243	cefepime	R	Broth dilution	32	mg/L
573.50463	cefepime	R	Computational Prediction		
573.49031	cefepime	S	Computational Prediction		
573.13259	cefepime	R	Broth dilution	>16	mg/L
573.48087	cefepime	R	Computational Prediction		
573.48108	cefepime	R	Computational Prediction		
573.23233	cefepime	R	Disk diffusion		
573.12884	cefepime	R	Broth dilution	16	mg/L
573.23203	cefepime	R	Disk diffusion		
573.13063	cefepime	R	Broth dilution	>16	mg/L
573.26260	cefepime	R	Broth dilution		
573.13186	cefepime	R	Broth dilution	>16	mg/L
573.49015	cefepime	R	Computational Prediction		
573.13102	cefepime	R	Broth dilution	>16	mg/L
573.48113	cefepime	R	Computational Prediction		
573.26280	cefepime	R	Broth dilution		
573.50521	cefepime	R	Computational Prediction		
573.13173	cefepime	R	Broth dilution	>16	mg/L
573.13105	cefepime	R	Broth dilution	>16	mg/L
573.14051	cefepime	R	Broth dilution	>16	mg/L
573.12917	cefepime	S	Broth dilution	<=0.5	mg/L
